address,isHostedBySuperhost,name,numberOfGuests,pricing/rate/amountFormatted,primaryHost/badges/0,primaryHost/badges/1,primaryHost/firstName,primaryHost/memberSince,primaryHost/responseRate,primaryHost/smartName,roomType,url
"Karachi, Sindh, Pakistan",No,2020,16.0,$23,0 Reviews,Identity verified,Chaudhry,Joined in September 2020,0.22,Chaudhry,Private room,https://www.airbnb.com/rooms/46383328
"Islamabad, Islamabad Capital Territory, Pakistan",No,"""2F3"" Hotel Vista Inn DHA 1 F ""5 Star look""",2.0,$25,1 Review,Identity not verified,Muhammad yaseen,Joined in October 2019,0.0,Muhammad Yaseen,Private room,https://www.airbnb.com/rooms/43456998
"Islamabad, Islamabad Capital Territory, Pakistan",No,"""La Casa de Versace"" Versace themed apt in F10.",4.0,$63,38 Reviews,Identity verified,Arif,Joined in February 2021,0.92,Arif,Entire place,https://www.airbnb.com/rooms/48253119
"Islamabad, Islamabad Capital Territory, Pakistan",No,"""LG1"" Hotel Vista Inn DHA 1 F ""5 Star look""",2.0,$25,1 Review,Identity not verified,Muhammad yaseen,Joined in October 2019,0.0,Muhammad Yaseen,Private room,https://www.airbnb.com/rooms/43439434
"Lahore, Punjab, Pakistan",No,"""Studio Private Room in Peaceful location.""",2.0,$21,15 Reviews,Identity verified,Muhammad,Joined in August 2019,0.0,Muhammad,Private room,https://www.airbnb.com/rooms/52463548
"Islamabad, Islamabad Capital Territory, Pakistan",No,“A perfect stay in Twin city”  1Bed| self check in,5.0,$34,273 Reviews,Identity verified,Ahmed,Joined in September 2017,1.0,Ahmed,Entire place,https://www.airbnb.com/rooms/51395221
"Lahore, Punjab, Pakistan",Yes,"“Airûtel Studio Room” Bahria town, Lahore.",2.0,$18,114 Reviews,Identity verified,Hilal,Joined in June 2018,1.0,Hilal,Entire place,https://www.airbnb.com/rooms/51434729
"Lahore, Punjab, Pakistan",No,(Family Only) Private Bedroom in a Luxurious House,3.0,$23,9 Reviews,Identity verified,Sharjeel,Joined in May 2017,0.9,Sharjeel,Private room,https://www.airbnb.com/rooms/51404143
"Islamabad, Islamabad Capital Territory, Pakistan",Yes,*NEW & Revamped* 2BHK Fernweh Zen,4.0,$39,216 Reviews,Identity verified,Kay,Joined in February 2020,0.0,Kay,Entire place,https://www.airbnb.com/rooms/29899927
"Lahore, Punjab, Pakistan",No,#Privacy #Private #Secure #Security #3315676942,6.0,$54,0 Reviews,Identity verified,Zaheer,Joined in July 2018,1.0,Zaheer,Entire place,https://www.airbnb.com/rooms/26475862
"Karachi, Sindh, Pakistan",No,02 bedroom with attached bathrooms and kitchen,4.0,$46,0 Reviews,Identity verified,Imran,Joined in November 2021,0.0,Imran,Private room,https://www.airbnb.com/rooms/53473830
"Lahore, Punjab, Pakistan",No,03200409962 2000per day I hv 3 rooms,2.0,$17,0 Reviews,Identity verified,Sami,Joined in November 2019,0.0,Sami,Private room,https://www.airbnb.com/rooms/41581524
"Rawalpindi, Punjab, Pakistan",No,1 Bed Apartment,3.0,$24,0 Reviews,Identity not verified,Usman,Joined in December 2019,0.0,Usman,Entire place,https://www.airbnb.com/rooms/40585949
"Lahore, Punjab, Pakistan",No,1 Bed Brand New Corner Apartment,2.0,$16,171 Reviews,Identity verified,Saqib,Joined in August 2015,1.0,Saqib,Entire place,https://www.airbnb.com/rooms/50699776
"Islamabad, Islamabad Capital Territory, Pakistan",No,1 Bed designer apartment in posh area of Islamabad,2.0,$63,2 Reviews,Identity verified,Alee,Joined in June 2018,0.75,Alee,Entire place,https://www.airbnb.com/rooms/45720232
"Lahore, Punjab, Pakistan",No,1 bed Fully furnished apartment in Sector C,4.0,$37,0 Reviews,Identity verified,Momin,Joined in September 2021,0.0,Momin,Entire place,https://www.airbnb.com/rooms/52019592
